records, perf[sec]
100, 0.17320489999838173
200, 0.35852880001766607
300, 0.5332546999852639
400, 0.6880864000122529
500, 0.8890431000036187
600, 1.039013800007524
700, 1.2111572000139859
800, 1.3758420000085607
900, 1.5531034999876283
1000, 1.737170700012939
1100, 1.8997418999788351
1200, 2.0890595999953803
1300, 2.228575600020122
1400, 2.399136699998053
1500, 2.576317300001392
1600, 2.724549799982924
1700, 2.907683800003724
1800, 3.086393899982795
1900, 3.2453994000097737
2000, 3.420763900008751
2100, 3.6664721999841277
2200, 3.8600266000139527
2300, 4.588719900028082
2400, 4.147755399986636
2500, 4.616221000003861
2600, 5.362517200002912
2700, 5.143928400008008
2800, 5.073916299996199
2900, 6.191376999981003
3000, 6.037759200000437
3100, 5.967271600005915
3200, 5.569659500004491
3300, 5.629930299997795
3400, 5.813546999997925
3500, 5.9372307999874465
3600, 6.290887699986342
3700, 6.3221997000218835
3800, 6.577376399975037
3900, 6.64738739997847
4000, 6.770763700013049
4100, 6.97401340000215
4200, 7.083047199994326
4300, 7.301424500008579
4400, 7.554564699996263
4500, 7.6016468000016175
4600, 7.864551999984542
4700, 8.017967300023884
4800, 8.108380799996667
4900, 8.270871199987596
5000, 8.689279299986083
