branch, request_datetime, request_index, request_user_id, rice, soup, salad, main_dish, total_price
国分寺支店, 2023-04-20 09:03:31, 5, M0959979499165585, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1100.00
三鷹支店, 2023-07-26 11:41:34, 4, M3764404782998205, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-03-19 13:58:27, 5, M6363338569666435, 白米 大, コンソメスープ, ほうれん草のごま和え, 豚の生姜焼き, 1050.00
小金井支店, 2023-12-26 21:46:18, 4, M8149505322780065, 白米 中, 豚汁, ほうれん草のごま和え, 鯖の塩焼き, 1200.00
国分寺支店, 2023-07-04 12:58:02, 11, M5980822666877486, 白米 大, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-04-28 23:08:07, 4, M0514976918844333, 白米 小, 豚汁, チキンのサラダ, 豚の生姜焼き, 1250.00
国分寺支店, 2023-08-15 05:50:37, 3, M1525342523725107, 白米 大, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-12-04 11:21:28, 4, M5628732464656951, 白米 大, コンソメスープ, チキンのサラダ, 鯖の塩焼き, 1350.00
小金井支店, 2023-03-07 00:59:08, 8, M0851225857326843, 白米 大, コンソメスープ, ほうれん草のごま和え, 鯖の塩焼き, 1150.00
小金井支店, 2023-04-09 01:05:03, 5, M1742213958426250, 白米 小, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1150.00
