branch, request_datetime, request_index, request_user_id, rice, soup, salad, main_dish, total_price
三鷹支店, 2023-01-01 02:43:01, 1, M4316471149704861, 白米 小, コンソメスープ, ほうれん草のごま和え, 鯖の塩焼き, 1050.00
三鷹支店, 2023-01-01 03:24:46, 3, M5432647983047799, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-01-01 06:01:11, 4, M8880181047927641, 白米 小, コンソメスープ, ワカメのサラダ, 鯖の塩焼き, 1150.00
三鷹支店, 2023-01-01 09:37:57, 2, M1692674481452789, 白米 中, 豚汁, ワカメのサラダ, 煮込みハンバーグ, 1300.00
三鷹支店, 2023-01-01 17:13:43, 5, M1829498371518666, 白米 小, 豚汁, ほうれん草のごま和え, 豚の生姜焼き, 1050.00
三鷹支店, 2023-01-02 00:04:14, 2, M1837026021070863, 白米 大, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-02 08:33:27, 1, M3493785522067783, 白米 小, 豆腐の味噌汁, チキンのサラダ, 鯖の塩焼き, 1250.00
三鷹支店, 2023-01-02 23:03:39, 3, M6691192990110146, 白米 小, 豆腐の味噌汁, チキンのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-03 01:23:36, 5, M1625021197653150, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 鯖の塩焼き, 1050.00
三鷹支店, 2023-01-03 05:35:00, 10, M6946100159144972, 白米 中, 豚汁, チキンのサラダ, 煮込みハンバーグ, 1400.00
三鷹支店, 2023-01-03 06:14:51, 8, M2662121413642089, 白米 大, 豆腐の味噌汁, ほうれん草のごま和え, 鯖の塩焼き, 1150.00
三鷹支店, 2023-01-03 06:56:17, 11, M5958992545564083, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 豚の生姜焼き, 1100.00
三鷹支店, 2023-01-03 07:06:20, 12, M4439008801559783, 白米 大, 豆腐の味噌汁, チキンのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-01-03 08:38:38, 3, M9366523864385044, 白米 中, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-01-03 11:21:05, 7, M6528764768399159, 白米 大, 豆腐の味噌汁, ほうれん草のごま和え, 煮込みハンバーグ, 1150.00
三鷹支店, 2023-01-03 16:28:20, 9, M2785702558166011, 白米 中, 豆腐の味噌汁, チキンのサラダ, 鯖の塩焼き, 1300.00
三鷹支店, 2023-01-03 16:59:28, 6, M9159749473516644, 白米 小, 豆腐の味噌汁, ほうれん草のごま和え, 煮込みハンバーグ, 1050.00
三鷹支店, 2023-01-03 17:50:37, 4, M0514976918844333, 白米 小, 豚汁, チキンのサラダ, 煮込みハンバーグ, 1350.00
三鷹支店, 2023-01-03 19:23:24, 2, M4316471149704861, 白米 小, コンソメスープ, ほうれん草のごま和え, 煮込みハンバーグ, 1050.00
三鷹支店, 2023-01-03 22:33:50, 1, S0000000000000001, 白米 大, 豚汁, ほうれん草のごま和え, 豚の生姜焼き, 1150.00
三鷹支店, 2023-01-04 01:54:11, 4, M4777048940070841, 白米 大, 豆腐の味噌汁, チキンのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-01-04 05:36:05, 5, M3735522060612831, 白米 中, 豚汁, ほうれん草のごま和え, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-01-04 11:00:53, 1, M9366523864385044, 白米 中, 豆腐の味噌汁, チキンのサラダ, 煮込みハンバーグ, 1300.00
三鷹支店, 2023-01-04 11:35:40, 2, M8144139671491198, 白米 大, コンソメスープ, チキンのサラダ, 豚の生姜焼き, 1250.00
三鷹支店, 2023-01-04 11:42:19, 6, M2662121413642089, 白米 小, 豚汁, チキンのサラダ, 豚の生姜焼き, 1250.00
三鷹支店, 2023-01-04 22:04:38, 3, M0075290594937843, 白米 中, コンソメスープ, ほうれん草のごま和え, 鯖の塩焼き, 1100.00
三鷹支店, 2023-01-05 03:58:41, 4, M1525342523725107, 白米 中, 豚汁, ワカメのサラダ, 豚の生姜焼き, 1200.00
三鷹支店, 2023-01-05 06:40:53, 3, M9717017308442137, 白米 大, 豚汁, ワカメのサラダ, 鯖の塩焼き, 1350.00
三鷹支店, 2023-01-05 07:09:51, 1, M6691192990110146, 白米 小, 豆腐の味噌汁, チキンのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-05 09:38:08, 2, M5268818685297836, 白米 中, コンソメスープ, ほうれん草のごま和え, 煮込みハンバーグ, 1100.00
三鷹支店, 2023-01-06 09:08:03, 2, M0075290594937843, 白米 中, コンソメスープ, ほうれん草のごま和え, 煮込みハンバーグ, 1100.00
三鷹支店, 2023-01-06 20:29:08, 1, M8880181047927641, 白米 中, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-01-07 02:04:23, 4, M4439008801559783, 白米 中, コンソメスープ, ワカメのサラダ, 煮込みハンバーグ, 1200.00
三鷹支店, 2023-01-07 03:32:04, 1, M4278949801966343, 白米 大, コンソメスープ, ワカメのサラダ, 煮込みハンバーグ, 1250.00
三鷹支店, 2023-01-07 04:32:44, 7, M9504559070091234, 白米 中, 豆腐の味噌汁, チキンのサラダ, 鯖の塩焼き, 1300.00
三鷹支店, 2023-01-07 11:50:45, 6, S0000000000000003, 白米 大, コンソメスープ, チキンのサラダ, 煮込みハンバーグ, 1350.00
三鷹支店, 2023-01-07 16:39:25, 2, S0000000000000003, 白米 大, 豆腐の味噌汁, ワカメのサラダ, 煮込みハンバーグ, 1250.00
